
第1回目。生成したパラメータ
hrand,[2|7|4|1|0|0|6|9|1|3]
grand,[5|6|5|5|4|5|5|5|7|7|5|7|4|1|4|1|5|6]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:16) <- Pasadena(h:9)(g:11) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:2)(g:0),77,7,18,16
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:19) <- Pasadena(h:9)(g:14) <- Downtown(h:6)(g:10) <- UCLA(h:7)(g:5) <- L.A.Airport(h:2)(g:0),51,6,27,19
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:16) <- Pasadena(h:9)(g:11) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:2)(g:0),214,10,18,16
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:22) <- GrandCanyon(h:0)(g:15) <- Anaheim(h:1)(g:10) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:2)(g:0),34,5,10,22
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:22) <- GrandCanyon(h:0)(g:15) <- Anaheim(h:1)(g:10) <- Hoolywood(h:4)(g:6) <- L.A.Airport(h:2)(g:0),105,6,10,22
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:3)(g:16)(f:19) <- Pasadena(h:9)(g:11)(f:20) <- Hoolywood(h:4)(g:6)(f:10) <- L.A.Airport(h:2)(g:0)(f:0),205,11,18,16
第2回目。生成したパラメータ
hrand,[0|4|5|3|1|7|4|6|6|8]
grand,[6|1|5|4|3|5|1|4|4|6|2|7|6|1|1|7|4|3]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:8)(g:6) <- Pasadena(h:6)(g:2) <- Hoolywood(h:5)(g:1) <- L.A.Airport(h:0)(g:0),47,7,19,6
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:8)(g:15) <- Pasadena(h:6)(g:11) <- Downtown(h:4)(g:10) <- UCLA(h:4)(g:6) <- L.A.Airport(h:0)(g:0),56,6,22,15
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:8)(g:6) <- Pasadena(h:6)(g:2) <- Hoolywood(h:5)(g:1) <- L.A.Airport(h:0)(g:0),130,7,19,6
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:8)(g:15) <- Pasadena(h:6)(g:11) <- Downtown(h:4)(g:10) <- UCLA(h:4)(g:6) <- L.A.Airport(h:0)(g:0),27,5,22,15
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:8)(g:15) <- GrandCanyon(h:1)(g:8) <- Anaheim(h:3)(g:4) <- Hoolywood(h:5)(g:1) <- L.A.Airport(h:0)(g:0),117,10,17,15
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:8)(g:6)(f:14) <- Pasadena(h:6)(g:2)(f:8) <- Hoolywood(h:5)(g:1)(f:6) <- L.A.Airport(h:0)(g:0)(f:0),119,8,19,6
第3回目。生成したパラメータ
hrand,[8|2|6|4|8|1|7|0|3|2]
grand,[1|1|3|2|7|7|1|2|7|3|5|5|1|4|5|5|2|3]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:4) <- Pasadena(h:0)(g:2) <- Hoolywood(h:6)(g:1) <- L.A.Airport(h:8)(g:0),40,7,16,4
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:10) <- Pasadena(h:0)(g:8) <- Downtown(h:7)(g:3) <- UCLA(h:2)(g:1) <- L.A.Airport(h:8)(g:0),288,6,19,10
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:4) <- Pasadena(h:0)(g:2) <- Hoolywood(h:6)(g:1) <- L.A.Airport(h:8)(g:0),78,6,16,4
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:7) <- Pasadena(h:0)(g:5) <- Hoolywood(h:6)(g:4) <- UCLA(h:2)(g:1) <- L.A.Airport(h:8)(g:0),13,5,18,7
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:4) <- Pasadena(h:0)(g:2) <- Hoolywood(h:6)(g:1) <- L.A.Airport(h:8)(g:0),39,5,16,4
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:2)(g:4)(f:6) <- Pasadena(h:0)(g:2)(f:2) <- Hoolywood(h:6)(g:1)(f:7) <- L.A.Airport(h:8)(g:0)(f:0),50,5,16,4
第4回目。生成したパラメータ
hrand,[6|8|8|8|9|8|6|2|2|1]
grand,[3|5|6|6|4|3|6|7|2|1|1|7|7|7|4|5|6|1]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
Breadth First Search,L.A.Airport,Las Vegas,Las Vegas(h:1)(g:17) <- Pasadena(h:2)(g:11) <- Hoolywood(h:8)(g:5) <- L.A.Airport(h:6)(g:0),35,7,17,17
Depth First Search,L.A.Airport,Las Vegas,Las Vegas(h:1)(g:19) <- Pasadena(h:2)(g:13) <- Downtown(h:6)(g:9) <- UCLA(h:8)(g:3) <- L.A.Airport(h:6)(g:0),29,6,23,19
Branch and Bound Search,L.A.Airport,Las Vegas,Las Vegas(h:1)(g:11) <- DisneyLand(h:2)(g:10) <- Anaheim(h:8)(g:9) <- Hoolywood(h:8)(g:5) <- L.A.Airport(h:6)(g:0),74,8,25,11
Hill Climbing Search,L.A.Airport,Las Vegas,Las Vegas(h:1)(g:19) <- Pasadena(h:2)(g:13) <- Downtown(h:6)(g:9) <- UCLA(h:8)(g:3) <- L.A.Airport(h:6)(g:0),11,5,23,19
Best First Search,L.A.Airport,Las Vegas,Las Vegas(h:1)(g:19) <- Pasadena(h:2)(g:13) <- Downtown(h:6)(g:9) <- UCLA(h:8)(g:3) <- L.A.Airport(h:6)(g:0),60,5,23,19
A star Algorithm,L.A.Airport,Las Vegas,Las Vegas(h:1)(g:11)(f:12) <- DisneyLand(h:2)(g:10)(f:12) <- Anaheim(h:8)(g:9)(f:17) <- Hoolywood(h:8)(g:5)(f:13) <- L.A.Airport(h:6)(g:0)(f:0),112,8,25,11
第5回目。生成したパラメータ
hrand,[9|1|2|1|2|9|6|8|0|6]
grand,[5|5|6|4|6|4|2|3|2|3|2|6|7|6|2|4|7|6]
探索手法,start,goal,到着ルート,実行時間(マイクロ秒),実行ステップ数,hValue,gValue
